start year,start month,end year,end month,from,Hard Broadcast News,Left Wing Cable,No or Minimal News,Other Cable,Right Wing Cable,Soft Broadcast News,Spanish News
2016,1,2017,10,Right Wing Cable,,,3068809.192,110698.842,,,20046.021
2016,1,2017,10,Soft Broadcast News,460997.840,403336.744,5297454.140,226484.334,488399.052,,
2016,1,2017,10,Spanish News,119220.446,268140.788,3315418.255,68900.837,,309782.418,
2016,1,2017,11,Hard Broadcast News,,4735802.397,7905904.629,729851.122,1448957.491,1421023.589,
2016,1,2017,11,Left Wing Cable,,,3346385.191,,1438065.870,64156.803,
2016,1,2017,11,Other Cable,,659895.663,3996193.510,,,122471.870,
2016,1,2017,11,Right Wing Cable,,,3550077.292,306018.566,,,49280.107
2016,1,2017,11,Soft Broadcast News,,,5282175.497,,44836.685,,
2016,1,2017,11,Spanish News,135433.342,265142.088,3591838.427,104574.570,,317816.947,
2016,1,2017,12,Hard Broadcast News,,5083184.987,8268267.631,99867.256,1029881.842,275338.114,
2016,1,2017,12,Left Wing Cable,,,3058471.815,,1393026.967,,
2016,1,2017,12,Other Cable,,1046142.943,5190998.051,,,249517.695,
2016,1,2017,12,Right Wing Cable,,,3520111.424,333380.776,,,46898.014
2016,1,2017,12,Soft Broadcast News,,36684.262,5453490.478,,55469.441,,
2016,1,2017,12,Spanish News,197910.239,239685.223,3820709.543,137005.769,,331395.684,
2016,1,2018,1,Hard Broadcast News,,4555323.568,7063453.019,23395.321,964230.875,,
2016,1,2018,1,Left Wing Cable,,,3523884.557,,1369944.612,198182.028,
2016,1,2018,1,Other Cable,,747573.846,4792100.438,,,260659.018,
2016,1,2018,1,Right Wing Cable,,,3432603.263,235840.002,,,92847.433
2016,1,2018,1,Soft Broadcast News,107991.821,,5356621.930,,134447.667,,
2016,1,2018,1,Spanish News,187781.885,206806.352,3380244.027,31305.801,,259817.362,
2016,1,2018,2,Hard Broadcast News,,5012345.029,9792091.707,629740.147,994812.580,737076.264,
2016,1,2018,2,Left Wing Cable,,,4187650.584,,1425501.493,234412.643,
2016,1,2018,2,Other Cable,,476625.246,5630647.678,,,27246.449,
2016,1,2018,2,Right Wing Cable,,,4011537.719,214939.845,,,62213.270
2016,1,2018,2,Soft Broadcast News,,,6367325.445,,117199.992,,
2016,1,2018,2,Spanish News,261607.153,251628.483,3785397.674,85110.361,,354588.261,
2016,1,2018,3,Hard Broadcast News,,4949015.635,9757881.777,844757.701,778212.406,692894.650,
2016,1,2018,3,Left Wing Cable,,,4002539.516,,1407835.559,133937.437,
2016,1,2018,3,Other Cable,,314072.711,5083911.461,,,,
2016,1,2018,3,Right Wing Cable,,,4193726.907,321467.569,,11484.972,74019.055
2016,1,2018,3,Soft Broadcast News,,,6800501.501,148082.847,,,
2016,1,2018,3,Spanish News,252434.529,241434.487,3846328.721,80673.400,,336881.920,
2016,1,2018,4,Hard Broadcast News,,5084405.136,10954195.356,509818.368,989542.433,,
2016,1,2018,4,Left Wing Cable,,,4244537.862,,1371389.056,,
2016,1,2018,4,Other Cable,,440921.185,5843268.455,,,,
2016,1,2018,4,Right Wing Cable,,,4147188.371,251158.622,,,48850.138
2016,1,2018,4,Soft Broadcast News,266712.788,37178.746,7787192.635,331863.330,126894.767,,
2016,1,2018,4,Spanish News,195241.514,215905.783,4108823.822,34720.352,,328415.856,
2016,1,2018,5,Hard Broadcast News,,4926543.199,10641564.442,616275.359,710382.214,2054255.611,
2016,1,2018,5,Left Wing Cable,,,4078416.675,,1359576.206,338483.039,
2016,1,2018,5,Other Cable,,288974.843,5872657.707,,,227833.818,
2016,1,2018,5,Right Wing Cable,,,4155386.255,265887.455,,,46299.749
2016,1,2018,5,Soft Broadcast News,,,6576084.082,,41355.093,,
2016,1,2018,5,Spanish News,212985.913,241201.634,4230393.915,25099.584,,296217.526,
2016,1,2018,6,Hard Broadcast News,,4631123.894,12160474.008,574879.802,793226.262,,
2016,1,2018,6,Left Wing Cable,,,4774705.789,,1437069.244,228278.507,
2016,1,2018,6,Other Cable,,146986.950,6996507.692,,,,
2016,1,2018,6,Right Wing Cable,,,4254755.605,80722.949,,,32489.908
2016,1,2018,6,Soft Broadcast News,1749906.057,,8903769.672,293390.205,339730.499,,
2016,1,2018,6,Spanish News,269910.501,200445.851,4010402.284,9813.447,,224462.449,
2016,1,2018,7,Hard Broadcast News,,5137017.023,13605574.689,746248.992,847316.283,,
2016,1,2018,7,Left Wing Cable,,,4791790.915,,1373924.545,82662.660,
2016,1,2018,7,Other Cable,,455133.584,7555969.991,,,,49574.761
2016,1,2018,7,Right Wing Cable,,,4672590.129,168243.250,,,64978.975
2016,1,2018,7,Soft Broadcast News,1437555.120,,9382549.479,284620.509,312627.379,,
2016,1,2018,7,Spanish News,252974.880,223606.330,4537230.496,,,233303.460,
2016,1,2018,8,Hard Broadcast News,,5735105.733,13423975.593,1038672.057,614086.219,,
2016,1,2018,8,Left Wing Cable,,,4796581.625,,1335000.545,,
2016,1,2018,8,Other Cable,,489279.842,7187959.927,,,,
2016,1,2018,8,Right Wing Cable,,,4896597.451,298771.121,,,63262.363
2016,1,2018,8,Soft Broadcast News,934069.410,24049.694,9315528.769,413107.734,126626.057,,
2016,1,2018,8,Spanish News,298076.235,306600.975,5087134.657,67553.175,,338934.363,
2016,1,2018,9,Hard Broadcast News,,6161688.622,11959955.032,913087.385,1347010.063,,
2016,1,2018,9,Left Wing Cable,,,4243876.485,,1317064.651,,
2016,1,2018,9,Other Cable,,668021.483,5845041.839,,,,
2016,1,2018,9,Right Wing Cable,,,4338143.367,170948.797,,,49590.337
2016,1,2018,9,Soft Broadcast News,1919280.230,155717.121,8900144.868,829885.750,599242.470,,
2016,1,2018,9,Spanish News,275840.864,331395.666,4713993.112,36055.757,,367046.956,
2016,1,2018,10,Hard Broadcast News,,5626501.056,12294274.785,632967.573,1729743.282,1082383.623,
2016,1,2018,10,Left Wing Cable,,,4935567.554,,1445752.623,303551.243,
2016,1,2018,10,Other Cable,,383281.747,7042592.086,,33934.432,185616.670,
2016,1,2018,10,Right Wing Cable,,,4199480.687,,,,45262.470
2016,1,2018,10,Soft Broadcast News,,,8355605.464,,607439.684,,
2016,1,2018,10,Spanish News,319733.623,315805.818,4986607.215,120995.049,,360138.515,
2016,1,2018,11,Hard Broadcast News,,5925052.214,9802754.964,,1385800.639,,
2016,1,2018,11,Left Wing Cable,,,3541668.426,,1465151.481,79563.115,
2016,1,2018,11,Other Cable,307708.608,1089448.415,6958090.797,,,478901.598,
2016,1,2018,11,Right Wing Cable,,,4022150.836,2489.612,,,33704.735
2016,1,2018,11,Soft Broadcast News,214910.327,,8047462.899,,419399.403,,
2016,1,2018,11,Spanish News,301455.575,348827.743,4598192.204,25186.049,,367038.646,
2016,1,2018,12,Hard Broadcast News,,5854615.268,11249896.270,,608556.013,,
2016,1,2018,12,Left Wing Cable,,,4718278.437,,1410077.385,140860.707,
2016,1,2018,12,Other Cable,356611.768,1086909.495,7814043.728,,,507717.104,
