state,program,network,period,value,medium,domain
MS,FOX NEWS LIVE,FOXNC,Last 3 months,150558,tv,
OR,ANDERSON COOPER 360,CNN,Last 3 months,149675,tv,
IA,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,149575,tv,
ME,CNN NEWSROOM,CNN,Last 3 months,148783,tv,
OR,CHRIS JANSING REPORTS,MSNBC,Last 3 months,148524,tv,
MS,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,148493,tv,
OR,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,147665,tv,
OR,GUTFELD!,FOXNC,Last 3 months,147557,tv,
NE,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,147184,tv,
WV,"FIVE, THE",FOXNC,Last 3 months,145432,tv,
UT,"FIVE, THE",FOXNC,Last 3 months,144819,tv,
IA,GUTFELD!,FOXNC,Last 3 months,142409,tv,
KS,"FIVE, THE",FOXNC,Last 3 months,141940,tv,
IA,CNN NEWSROOM,CNN,Last 3 months,141736,tv,
KS,FOX AND FRIENDS,FOXNC,Last 3 months,138973,tv,
NE,AMERICA REPORTS,FOXNC,Last 3 months,138253,tv,
NE,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,137910,tv,
KS,GUTFELD!,FOXNC,Last 3 months,136652,tv,
MS,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,135883,tv,
KS,AMERICAS NEWSROOM,FOXNC,Last 3 months,135845,tv,
UT,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,135670,tv,
WV,HANNITY,FOXNC,Last 3 months,134353,tv,
IA,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,132955,tv,
WV,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,132799,tv,
NE,HANNITY,FOXNC,Last 3 months,132349,tv,
NE,GUTFELD!,FOXNC,Last 3 months,132217,tv,
MS,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,132175,tv,
MS,AMERICA REPORTS,FOXNC,Last 3 months,131704,tv,
NE,FOX NEWS LIVE,FOXNC,Last 3 months,131046,tv,
KS,FOX NEWS LIVE,FOXNC,Last 3 months,130963,tv,
KS,AMERICA REPORTS,FOXNC,Last 3 months,130172,tv,
UT,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,129602,tv,
IA,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,125999,tv,
IA,FOX NEWS LIVE,FOXNC,Last 3 months,124738,tv,
UT,FOX NEWS LIVE,FOXNC,Last 3 months,123620,tv,
NM,CNN NEWSROOM,CNN,Last 3 months,123244,tv,
MS,OUTNUMBERED,FOXNC,Last 3 months,122994,tv,
WV,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,122494,tv,
UT,GUTFELD!,FOXNC,Last 3 months,122404,tv,
IA,AMERICA REPORTS,FOXNC,Last 3 months,122104,tv,
WV,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,120532,tv,
MS,FOX AND FRIENDS,FOXNC,Last 3 months,119375,tv,
WV,FOX NEWS LIVE,FOXNC,Last 3 months,117572,tv,
WV,FOX AND FRIENDS,FOXNC,Last 3 months,117132,tv,
WV,GUTFELD!,FOXNC,Last 3 months,116649,tv,
ID,"FIVE, THE",FOXNC,Last 3 months,115926,tv,
ID,HANNITY,FOXNC,Last 3 months,115340,tv,
ID,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,114903,tv,
MS,GUTFELD!,FOXNC,Last 3 months,114852,tv,
HI,CNN NEWSROOM,CNN,Last 3 months,113018,tv,
NE,YOUR WORLD W/NEIL CAVUTO,FOXNC,Last 3 months,112681,tv,
ID,GUTFELD!,FOXNC,Last 3 months,111291,tv,
NE,AMERICAS NEWSROOM,FOXNC,Last 3 months,108129,tv,
IA,OUTNUMBERED,FOXNC,Last 3 months,107015,tv,
NM,"FIVE, THE",FOXNC,Last 3 months,104609,tv,
ID,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,104387,tv,
UT,AMERICAS NEWSROOM,FOXNC,Last 3 months,103911,tv,
SD,HANNITY,FOXNC,Last 3 months,103087,tv,
UT,AMERICA REPORTS,FOXNC,Last 3 months,102718,tv,
SD,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,102627,tv,
UT,"FAULKNER FOCUS, THE",FOXNC,Last 3 months,102123,tv,
NM,BEAT W/ARI MELBER,MSNBC,Last 3 months,102069,tv,
RI,CNN NEWSROOM,CNN,Last 3 months,101751,tv,
MT,GUTFELD!,FOXNC,Last 3 months,98942,tv,
MT,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,97258,tv,
SD,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,97151,tv,
ME,ERIN BURNETT OUTFRONT,CNN,Last 3 months,96953,tv,
NM,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,96489,tv,
NM,LAST WORD W/ L. ODONNELL,MSNBC,Last 3 months,96295,tv,
WV,AMERICAS NEWSROOM,FOXNC,Last 3 months,96247,tv,
WV,AMERICA REPORTS,FOXNC,Last 3 months,96149,tv,
NM,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,96103,tv,
NM,ALEX WAGNER TONIGHT,MSNBC,Last 3 months,94498,tv,
NM,ALL IN W/ CHRIS HAYES,MSNBC,Last 3 months,92150,tv,
