year,month,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct
2016,1,MT,web,lenient,75,0.019,0.017
2016,1,MT,web,stringent,50,0.009,0.002
2016,1,MT,web,stringent,75,0.008,0.000
2016,1,NC,tv,lenient,50,0.000,0.000
2016,1,NC,tv,lenient,75,0.000,0.000
2016,1,NC,tv,stringent,50,0.000,0.000
2016,1,NC,tv,stringent,75,0.000,0.000
2016,1,NC,web,lenient,50,0.027,0.022
2016,1,NC,web,lenient,75,0.019,0.014
2016,1,NC,web,stringent,50,0.007,0.010
2016,1,NC,web,stringent,75,0.005,0.006
2016,1,ND,tv,lenient,50,0.000,0.000
2016,1,ND,tv,lenient,75,0.000,0.000
2016,1,ND,tv,stringent,50,0.000,0.000
2016,1,ND,tv,stringent,75,0.000,0.000
2016,1,ND,web,lenient,50,0.010,0.086
2016,1,ND,web,lenient,75,0.007,0.047
2016,1,ND,web,stringent,50,0.001,0.021
2016,1,ND,web,stringent,75,0.000,0.021
2016,1,NE,tv,lenient,50,0.000,0.000
2016,1,NE,tv,lenient,75,0.000,0.000
2016,1,NE,tv,stringent,50,0.000,0.000
2016,1,NE,tv,stringent,75,0.000,0.000
2016,1,NE,web,lenient,50,0.019,0.049
2016,1,NE,web,lenient,75,0.009,0.039
2016,1,NE,web,stringent,50,0.015,0.022
2016,1,NE,web,stringent,75,0.008,0.016
2016,1,NH,tv,lenient,50,0.000,0.000
2016,1,NH,tv,lenient,75,0.000,0.000
2016,1,NH,tv,stringent,50,0.000,0.000
2016,1,NH,tv,stringent,75,0.000,0.000
2016,1,NH,web,lenient,50,0.014,0.026
2016,1,NH,web,lenient,75,0.007,0.018
2016,1,NH,web,stringent,50,0.002,0.002
2016,1,NH,web,stringent,75,0.000,0.001
2016,1,NJ,tv,lenient,50,0.000,0.000
2016,1,NJ,tv,lenient,75,0.000,0.000
2016,1,NJ,tv,stringent,50,0.000,0.000
2016,1,NJ,tv,stringent,75,0.000,0.000
2016,1,NJ,web,lenient,50,0.023,0.012
2016,1,NJ,web,lenient,75,0.019,0.007
2016,1,NJ,web,stringent,50,0.011,0.004
2016,1,NJ,web,stringent,75,0.007,0.003
2016,1,NM,tv,lenient,50,0.000,0.000
2016,1,NM,tv,lenient,75,0.000,0.000
2016,1,NM,tv,stringent,50,0.000,0.000
2016,1,NM,tv,stringent,75,0.000,0.000
2016,1,NM,web,lenient,50,0.022,0.046
