year,month,medium,gender,age_group,ethnicity,political_lean,partisanship_scenario,diet_threshold,value
2016,3,tv,Male,55+,All,L,lenient,50,0.112
2016,3,tv,Female,55+,All,L,lenient,50,0.081
2016,4,tv,Male,18-24,All,L,lenient,50,0.063
2016,4,tv,Female,18-24,All,L,lenient,50,0.059
2016,4,tv,Male,25-34,All,L,lenient,50,0.085
2016,4,tv,Female,25-34,All,L,lenient,50,0.061
2016,4,tv,Male,35-44,All,L,lenient,50,0.086
2016,4,tv,Female,35-44,All,L,lenient,50,0.055
2016,4,tv,Male,45-54,All,L,lenient,50,0.085
2016,4,tv,Female,45-54,All,L,lenient,50,0.064
2016,4,tv,Male,55+,All,L,lenient,50,0.092
2016,4,tv,Female,55+,All,L,lenient,50,0.067
2016,5,tv,Male,18-24,All,L,lenient,50,0.060
2016,5,tv,Female,18-24,All,L,lenient,50,0.053
2016,5,tv,Male,25-34,All,L,lenient,50,0.073
2016,5,tv,Female,25-34,All,L,lenient,50,0.050
2016,5,tv,Male,35-44,All,L,lenient,50,0.083
2016,5,tv,Female,35-44,All,L,lenient,50,0.054
2016,5,tv,Male,45-54,All,L,lenient,50,0.077
2016,5,tv,Female,45-54,All,L,lenient,50,0.062
2016,5,tv,Male,55+,All,L,lenient,50,0.087
2016,5,tv,Female,55+,All,L,lenient,50,0.062
2016,6,tv,Male,18-24,All,L,lenient,50,0.064
2016,6,tv,Female,18-24,All,L,lenient,50,0.062
2016,6,tv,Male,25-34,All,L,lenient,50,0.082
2016,6,tv,Female,25-34,All,L,lenient,50,0.063
2016,6,tv,Male,35-44,All,L,lenient,50,0.088
2016,6,tv,Female,35-44,All,L,lenient,50,0.062
2016,6,tv,Male,45-54,All,L,lenient,50,0.090
2016,6,tv,Female,45-54,All,L,lenient,50,0.072
2016,6,tv,Male,55+,All,L,lenient,50,0.101
2016,6,tv,Female,55+,All,L,lenient,50,0.078
2016,7,tv,Male,18-24,All,L,lenient,50,0.091
2016,7,tv,Female,18-24,All,L,lenient,50,0.083
2016,7,tv,Male,25-34,All,L,lenient,50,0.104
2016,7,tv,Female,25-34,All,L,lenient,50,0.089
2016,7,tv,Male,35-44,All,L,lenient,50,0.123
2016,7,tv,Female,35-44,All,L,lenient,50,0.090
2016,7,tv,Male,45-54,All,L,lenient,50,0.111
2016,7,tv,Female,45-54,All,L,lenient,50,0.090
2016,7,tv,Male,55+,All,L,lenient,50,0.130
2016,7,tv,Female,55+,All,L,lenient,50,0.107
2016,8,tv,Male,18-24,All,L,lenient,50,0.065
2016,8,tv,Female,18-24,All,L,lenient,50,0.051
2016,8,tv,Male,25-34,All,L,lenient,50,0.070
2016,8,tv,Female,25-34,All,L,lenient,50,0.051
2016,8,tv,Male,35-44,All,L,lenient,50,0.084
2016,8,tv,Female,35-44,All,L,lenient,50,0.060
2016,8,tv,Male,45-54,All,L,lenient,50,0.090
2016,8,tv,Female,45-54,All,L,lenient,50,0.071
2016,8,tv,Male,55+,All,L,lenient,50,0.105
2016,8,tv,Female,55+,All,L,lenient,50,0.086
2016,9,tv,Male,18-24,All,L,lenient,50,0.069
2016,9,tv,Female,18-24,All,L,lenient,50,0.059
2016,9,tv,Male,25-34,All,L,lenient,50,0.084
2016,9,tv,Female,25-34,All,L,lenient,50,0.068
2016,9,tv,Male,35-44,All,L,lenient,50,0.099
2016,9,tv,Female,35-44,All,L,lenient,50,0.067
2016,9,tv,Male,45-54,All,L,lenient,50,0.091
2016,9,tv,Female,45-54,All,L,lenient,50,0.073
2016,9,tv,Male,55+,All,L,lenient,50,0.109
2016,9,tv,Female,55+,All,L,lenient,50,0.088
2016,10,tv,Male,18-24,All,L,lenient,50,0.073
2016,10,tv,Female,18-24,All,L,lenient,50,0.061
2016,10,tv,Male,25-34,All,L,lenient,50,0.085
2016,10,tv,Female,25-34,All,L,lenient,50,0.071
2016,10,tv,Male,35-44,All,L,lenient,50,0.095
2016,10,tv,Female,35-44,All,L,lenient,50,0.078
2016,10,tv,Male,45-54,All,L,lenient,50,0.096
