archetype,delta,start year,start month,end year,end month
Hard Broadcast News,-16342795,2016,1,2018,10
Soft Broadcast News,-3643756,2016,1,2018,10
Partisan Cable (right),1826264,2016,1,2018,10
Partisan Cable (left),4206429,2016,1,2018,10
Spanish News,-2879938,2016,1,2018,10
Other Cable,372990,2016,1,2018,10
No or Minimal News,19084075,2016,1,2018,11
Hard Broadcast News,-10378447,2016,1,2018,11
Soft Broadcast News,-5756030,2016,1,2018,11
Partisan Cable (right),1955826,2016,1,2018,11
Partisan Cable (left),7422611,2016,1,2018,11
Spanish News,-2723185,2016,1,2018,11
Other Cable,-1723402,2016,1,2018,11
No or Minimal News,23382622,2016,1,2018,12
Hard Broadcast News,-8949339,2016,1,2018,12
Soft Broadcast News,-7115130,2016,1,2018,12
Partisan Cable (right),-991096,2016,1,2018,12
Partisan Cable (left),5542824,2016,1,2018,12
Spanish News,-3173504,2016,1,2018,12
Other Cable,-817069,2016,1,2018,12
No or Minimal News,25991812,2016,1,2019,1
Hard Broadcast News,-5567435,2016,1,2019,1
Soft Broadcast News,-14799606,2016,1,2019,1
Partisan Cable (right),-20995,2016,1,2019,1
Partisan Cable (left),6237789,2016,1,2019,1
Spanish News,-2525995,2016,1,2019,1
Other Cable,-1371113,2016,1,2019,1
No or Minimal News,28357295,2016,1,2019,2
Hard Broadcast News,-3519063,2016,1,2019,2
Soft Broadcast News,-17244306,2016,1,2019,2
Partisan Cable (right),222908,2016,1,2019,2
Partisan Cable (left),4542965,2016,1,2019,2
Spanish News,-2464854,2016,1,2019,2
Other Cable,-1938870,2016,1,2019,2
No or Minimal News,29172345,2016,1,2019,3
Hard Broadcast News,-4585077,2016,1,2019,3
Soft Broadcast News,-16800758,2016,1,2019,3
Partisan Cable (right),-495324,2016,1,2019,3
Partisan Cable (left),2833099,2016,1,2019,3
Spanish News,-2914771,2016,1,2019,3
Other Cable,678514,2016,1,2019,3
No or Minimal News,35172769,2016,1,2019,4
Hard Broadcast News,-10798489,2016,1,2019,4
Soft Broadcast News,-16042329,2016,1,2019,4
Partisan Cable (right),-659424,2016,1,2019,4
Partisan Cable (left),2148707,2016,1,2019,4
Spanish News,-3000770,2016,1,2019,4
Other Cable,1154197,2016,1,2019,4
No or Minimal News,34054425,2016,1,2019,5
Hard Broadcast News,-7651946,2016,1,2019,5
Soft Broadcast News,-16549114,2016,1,2019,5
Partisan Cable (right),-1424219,2016,1,2019,5
Partisan Cable (left),1341998,2016,1,2019,5
Spanish News,-2721141,2016,1,2019,5
Other Cable,901485,2016,1,2019,5
No or Minimal News,34608573,2016,1,2019,6
Hard Broadcast News,-6511803,2016,1,2019,6
Soft Broadcast News,-18812972,2016,1,2019,6
Partisan Cable (right),-1582702,2016,1,2019,6
Partisan Cable (left),1864717,2016,1,2019,6
Spanish News,-2544569,2016,1,2019,6
Other Cable,856915,2016,1,2019,6
No or Minimal News,37864246,2016,1,2019,7
Hard Broadcast News,-13283415,2016,1,2019,7
Soft Broadcast News,-18953760,2016,1,2019,7
Partisan Cable (right),-249311,2016,1,2019,7
Partisan Cable (left),4863336,2016,1,2019,7
Spanish News,-2537513,2016,1,2019,7
Other Cable,232281,2016,1,2019,7
No or Minimal News,38746859,2016,1,2019,8
Hard Broadcast News,-13966809,2016,1,2019,8
Soft Broadcast News,-18201868,2016,1,2019,8
Partisan Cable (right),-442130,2016,1,2019,8
Partisan Cable (left),2760368,2016,1,2019,8
Spanish News,-3050383,2016,1,2019,8
Other Cable,2347863,2016,1,2019,8
No or Minimal News,34714153,2016,1,2019,9
Hard Broadcast News,-4567197,2016,1,2019,9
Soft Broadcast News,-20116843,2016,1,2019,9
Partisan Cable (right),-693798,2016,1,2019,9
Partisan Cable (left),3604752,2016,1,2019,9
Spanish News,-2454694,2016,1,2019,9
Other Cable,-809978,2016,1,2019,9
No or Minimal News,35546662,2016,1,2019,10
Hard Broadcast News,-7354101,2016,1,2019,10
Soft Broadcast News,-19329395,2016,1,2019,10
Partisan Cable (right),-182561,2016,1,2019,10
Partisan Cable (left),5566087,2016,1,2019,10
Spanish News,-2673801,2016,1,2019,10
Other Cable,-1852872,2016,1,2019,10
No or Minimal News,33647313,2016,1,2019,11
Hard Broadcast News,-3533767,2016,1,2019,11
Soft Broadcast News,-20857876,2016,1,2019,11
Partisan Cable (right),-12594,2016,1,2019,11
Partisan Cable (left),4983008,2016,1,2019,11
Spanish News,-2538968,2016,1,2019,11
Other Cable,-2011043,2016,1,2019,11
No or Minimal News,31805294,2016,1,2019,12
Hard Broadcast News,-1987242,2016,1,2019,12
Soft Broadcast News,-20882834,2016,1,2019,12
Partisan Cable (right),507654,2016,1,2019,12
Partisan Cable (left),4529676,2016,1,2019,12
Spanish News,-2846504,2016,1,2019,12
Other Cable,-1443831,2016,1,2019,12
No or Minimal News,29933120,2016,1,2020,1
Hard Broadcast News,-3701877,2016,1,2020,1
Soft Broadcast News,-21790615,2016,1,2020,1
Partisan Cable (right),2942863,2016,1,2020,1
Partisan Cable (left),7204183,2016,1,2020,1
Spanish News,-2431891,2016,1,2020,1
Other Cable,-2409528,2016,1,2020,1
No or Minimal News,32845560,2016,1,2020,2
Hard Broadcast News,-3340777,2016,1,2020,2
Soft Broadcast News,-22054742,2016,1,2020,2
Partisan Cable (right),2649466,2016,1,2020,2
Partisan Cable (left),3960960,2016,1,2020,2
Spanish News,-2845621,2016,1,2020,2
Other Cable,-1479703,2016,1,2020,2
No or Minimal News,17896025,2016,1,2020,3
Hard Broadcast News,-1484909,2016,1,2020,3
Soft Broadcast News,-23641947,2016,1,2020,3
Partisan Cable (right),6767489,2016,1,2020,3
Partisan Cable (left),13649926,2016,1,2020,3
Spanish News,-1655006,2016,1,2020,3
Other Cable,-1831717,2016,1,2020,3
No or Minimal News,31179984,2016,1,2020,4
Hard Broadcast News,-10249065,2016,1,2020,4
Soft Broadcast News,-21712844,2016,1,2020,4
Partisan Cable (right),6079894,2016,1,2020,4
Partisan Cable (left),10533001,2016,1,2020,4
Spanish News,-2477319,2016,1,2020,4
Other Cable,-3639220,2016,1,2020,4
No or Minimal News,38134191,2016,1,2020,5
Hard Broadcast News,-12231842,2016,1,2020,5
Soft Broadcast News,-22572508,2016,1,2020,5
Partisan Cable (right),3888095,2016,1,2020,5
Partisan Cable (left),10038430,2016,1,2020,5
Spanish News,-3505865,2016,1,2020,5
Other Cable,-4095261,2016,1,2020,5
No or Minimal News,40419715,2016,1,2020,6
Hard Broadcast News,-13233095,2016,1,2020,6
Soft Broadcast News,-24084835,2016,1,2020,6
Partisan Cable (right),4094077,2016,1,2020,6
Partisan Cable (left),9811546,2016,1,2020,6
Spanish News,-3951298,2016,1,2020,6
Other Cable,-3299366,2016,1,2020,6
No or Minimal News,45868141,2016,1,2020,7
Hard Broadcast News,-14432658,2016,1,2020,7
Soft Broadcast News,-24608747,2016,1,2020,7
Partisan Cable (right),2880941,2016,1,2020,7
Partisan Cable (left),6830381,2016,1,2020,7
Spanish News,-4183677,2016,1,2020,7
Other Cable,-2612399,2016,1,2020,7
No or Minimal News,42202053,2016,1,2020,8
Hard Broadcast News,-14079956,2016,1,2020,8
Soft Broadcast News,-25982302,2016,1,2020,8
Partisan Cable (right),4771128,2016,1,2020,8
Partisan Cable (left),8954831,2016,1,2020,8
Spanish News,-3861810,2016,1,2020,8
Other Cable,-2283338,2016,1,2020,8
No or Minimal News,37670875,2016,1,2020,9
Hard Broadcast News,-7614955,2016,1,2020,9
Soft Broadcast News,-25668342,2016,1,2020,9
Partisan Cable (right),5616578,2016,1,2020,9
Partisan Cable (left),7728763,2016,1,2020,9
Spanish News,-4261868,2016,1,2020,9
Other Cable,-2825569,2016,1,2020,9
No or Minimal News,33166809,2016,1,2020,10
Hard Broadcast News,-5460634,2016,1,2020,10
Soft Broadcast News,-27438524,2016,1,2020,10
Partisan Cable (right),7323444,2016,1,2020,10
Partisan Cable (left),10665148,2016,1,2020,10
Spanish News,-4419584,2016,1,2020,10
Other Cable,-3233527,2016,1,2020,10
No or Minimal News,22442181,2016,1,2020,11
Hard Broadcast News,-9513317,2016,1,2020,11
Soft Broadcast News,-27542042,2016,1,2020,11
Partisan Cable (right),11984043,2016,1,2020,11
Partisan Cable (left),22741501,2016,1,2020,11
Spanish News,-3636659,2016,1,2020,11
Other Cable,-5922451,2016,1,2020,11
No or Minimal News,44654117,2016,1,2020,12
Hard Broadcast News,-16514160,2016,1,2020,12
Soft Broadcast News,-22840026,2016,1,2020,12
Partisan Cable (right),1295132,2016,1,2020,12
Partisan Cable (left),9938019,2016,1,2020,12
Spanish News,-4096398,2016,1,2020,12
Other Cable,-1774283,2016,1,2020,12
No or Minimal News,32662335,2016,1,2021,1
Hard Broadcast News,-10117517,2016,1,2021,1
Soft Broadcast News,-28631814,2016,1,2021,1
Partisan Cable (right),4220596,2016,1,2021,1
Partisan Cable (left),20411811,2016,1,2021,1
Spanish News,-3855610,2016,1,2021,1
Other Cable,-4091793,2016,1,2021,1
No or Minimal News,52450815,2016,1,2021,2
Hard Broadcast News,-18385681,2016,1,2021,2
Soft Broadcast News,-27232333,2016,1,2021,2
Partisan Cable (right),497609,2016,1,2021,2
Partisan Cable (left),10288497,2016,1,2021,2
Spanish News,-5335756,2016,1,2021,2
Other Cable,-1578827,2016,1,2021,2
No or Minimal News,51113409,2016,1,2021,3
Hard Broadcast News,-14903814,2016,1,2021,3
Soft Broadcast News,-25203206,2016,1,2021,3
