year,month,variable,archetype,value
2020,11,sizes,Soft Broadcast News,13487428.73333
2020,12,sizes,Soft Broadcast News,18371462.29032
2021,1,sizes,Soft Broadcast News,12210171.64516
2021,2,sizes,Soft Broadcast News,13598836.85714
2021,3,sizes,Soft Broadcast News,15721816.96774
2021,4,sizes,Soft Broadcast News,15286396.36667
2021,5,sizes,Soft Broadcast News,16459440.03226
2021,6,sizes,Soft Broadcast News,16316438.90000
2021,7,sizes,Soft Broadcast News,17616146.87097
2021,8,sizes,Soft Broadcast News,17125104.29032
2021,9,sizes,Soft Broadcast News,17172548.60000
2021,10,sizes,Soft Broadcast News,17587093.80645
2021,11,sizes,Soft Broadcast News,18372904.00000
2021,12,sizes,Soft Broadcast News,18531689.00000
2022,1,sizes,Soft Broadcast News,17969142.51613
2022,2,sizes,Soft Broadcast News,16887816.03571
2022,3,sizes,Soft Broadcast News,15381223.61290
2022,4,sizes,Soft Broadcast News,15561026.36667
2022,5,sizes,Soft Broadcast News,16002141.74194
2022,6,sizes,Soft Broadcast News,13671184.30000
2022,7,sizes,Soft Broadcast News,14016642.87097
2022,8,sizes,Soft Broadcast News,15081393.74194
2022,9,sizes,Soft Broadcast News,13488852.46667
2022,10,sizes,Soft Broadcast News,15632754.70968
2016,1,sizes,FOX+Newsmax,21281850.16127
2016,2,sizes,FOX+Newsmax,18841219.60717
2016,3,sizes,FOX+Newsmax,22348728.06449
2016,4,sizes,FOX+Newsmax,19144985.16668
2016,5,sizes,FOX+Newsmax,19291276.61294
2016,6,sizes,FOX+Newsmax,19995526.03332
2016,7,sizes,FOX+Newsmax,23334798.67745
2016,8,sizes,FOX+Newsmax,20637052.51612
2016,9,sizes,FOX+Newsmax,21822212.90002
2016,10,sizes,FOX+Newsmax,23509077.41936
2016,11,sizes,FOX+Newsmax,29204833.00001
2016,12,sizes,FOX+Newsmax,22973238.70969
2017,1,sizes,FOX+Newsmax,26256471.77415
2017,2,sizes,FOX+Newsmax,24934919.53568
2017,3,sizes,FOX+Newsmax,23274206.77416
2017,4,sizes,FOX+Newsmax,23744427.53330
2017,5,sizes,FOX+Newsmax,22632451.87096
2017,6,sizes,FOX+Newsmax,22856607.73332
2017,7,sizes,FOX+Newsmax,21414309.54834
2017,8,sizes,FOX+Newsmax,23132140.93547
2017,9,sizes,FOX+Newsmax,23747121.80002
2017,10,sizes,FOX+Newsmax,24195049.45716
2017,11,sizes,FOX+Newsmax,22766642.86660
2017,12,sizes,FOX+Newsmax,22288447.58062
2018,1,sizes,FOX+Newsmax,22628450.54836
2018,2,sizes,FOX+Newsmax,22148925.07139
2018,3,sizes,FOX+Newsmax,21461945.70962
2018,4,sizes,FOX+Newsmax,22090174.23340
2018,5,sizes,FOX+Newsmax,21582459.74191
2018,6,sizes,FOX+Newsmax,22408692.26668
2018,7,sizes,FOX+Newsmax,21662441.03226
2018,8,sizes,FOX+Newsmax,20911135.83872
2018,9,sizes,FOX+Newsmax,22895104.53333
2018,10,sizes,FOX+Newsmax,23699820.99997
2018,11,sizes,FOX+Newsmax,23484983.96663
2018,12,sizes,FOX+Newsmax,20972294.87097
2019,1,sizes,FOX+Newsmax,21883611.25806
2019,2,sizes,FOX+Newsmax,22156453.28571
2019,3,sizes,FOX+Newsmax,21516485.80645
2019,4,sizes,FOX+Newsmax,21373669.90000
2019,5,sizes,FOX+Newsmax,20475078.38710
2019,6,sizes,FOX+Newsmax,20348863.96667
2019,7,sizes,FOX+Newsmax,21773782.06452
2019,8,sizes,FOX+Newsmax,21502317.03226
2019,9,sizes,FOX+Newsmax,21242428.50000
2019,10,sizes,FOX+Newsmax,21706989.25806
2019,11,sizes,FOX+Newsmax,21926210.56667
2019,12,sizes,FOX+Newsmax,22551893.12903
2020,1,sizes,FOX+Newsmax,24944727.38710
2020,2,sizes,FOX+Newsmax,24686542.62069
2020,3,sizes,FOX+Newsmax,28780630.83871
2020,4,sizes,FOX+Newsmax,27894281.33333
2020,5,sizes,FOX+Newsmax,25766473.09677
2020,6,sizes,FOX+Newsmax,26090698.33333
2020,7,sizes,FOX+Newsmax,24899997.67742
2020,8,sizes,FOX+Newsmax,26769892.54839
2020,9,sizes,FOX+Newsmax,27650278.93333
2020,10,sizes,FOX+Newsmax,29289476.51613
2020,11,sizes,FOX+Newsmax,33897838.40000
2020,12,sizes,FOX+Newsmax,23344249.83871
2021,1,sizes,FOX+Newsmax,26264784.70968
2021,2,sizes,FOX+Newsmax,22515337.67857
2021,3,sizes,FOX+Newsmax,21560682.22581
2021,4,sizes,FOX+Newsmax,21744794.93333
2021,5,sizes,FOX+Newsmax,21210437.03226
2021,6,sizes,FOX+Newsmax,21009940.10000
2021,7,sizes,FOX+Newsmax,20363976.45161
2021,8,sizes,FOX+Newsmax,23951996.45161
2021,9,sizes,FOX+Newsmax,23233392.66667
2021,10,sizes,FOX+Newsmax,22635335.70968
2021,11,sizes,FOX+Newsmax,24422491.36667
2021,12,sizes,FOX+Newsmax,22679486.80645
2022,1,sizes,FOX+Newsmax,22761918.32258
2022,2,sizes,FOX+Newsmax,25928231.75000
2022,3,sizes,FOX+Newsmax,27213302.90323
2022,4,sizes,FOX+Newsmax,24518873.50000
2022,5,sizes,FOX+Newsmax,23692277.22581
2022,6,sizes,FOX+Newsmax,23533949.13333
2022,7,sizes,FOX+Newsmax,23009039.77419
2022,8,sizes,FOX+Newsmax,23306515.80645
2022,9,sizes,FOX+Newsmax,22799729.10000
2022,10,sizes,FOX+Newsmax,22673045.32258
2016,1,sizes,CNN+MSNBC,17523810.19351
