year,month,medium,political_lean,partisanship_scenario,diet_threshold,value
2017,4,tv,L,lenient,75,0.0253371365617337
2017,5,tv,L,lenient,75,0.0244101230134769
2017,6,tv,L,lenient,75,0.0236297063832711
2017,7,tv,L,lenient,75,0.0232556570099938
2017,8,tv,L,lenient,75,0.0240489526857404
2017,9,tv,L,lenient,75,0.0273930464480521
2017,11,tv,L,lenient,75,0.0198094220366117
2017,12,tv,L,lenient,75,0.020753250181498
2018,1,tv,L,lenient,75,0.0165377881335835
2018,2,tv,L,lenient,75,0.0179235471159461
2018,3,tv,L,lenient,75,0.0188489360742686
2018,4,tv,L,lenient,75,0.0201050784738804
2018,5,tv,L,lenient,75,0.016560041778422
2018,6,tv,L,lenient,75,0.0189578354538149
2018,7,tv,L,lenient,75,0.0199250380297884
2018,8,tv,L,lenient,75,0.0195455707990895
2018,9,tv,L,lenient,75,0.0208538769593142
2018,10,tv,L,lenient,75,0.0190056905271566
2018,11,tv,L,lenient,75,0.0253930049960421
2018,12,tv,L,lenient,75,0.0214053132211196
2019,1,tv,L,lenient,75,0.0276349620669108
2019,2,tv,L,lenient,75,0.0265152570319506
2019,3,tv,L,lenient,75,0.0238531615479069
2019,4,tv,L,lenient,75,0.0231242135643966
2019,5,tv,L,lenient,75,0.0208882876274378
2019,6,tv,L,lenient,75,0.0196798678456718
2019,7,tv,L,lenient,75,0.0221379027059819
2019,8,tv,L,lenient,75,0.0241702714533848
2019,9,tv,L,lenient,75,0.0222793830168715
2019,10,tv,L,lenient,75,0.0240023778126519
2019,11,tv,L,lenient,75,0.0167606256065187
2019,12,tv,L,lenient,75,0.0262116457172688
2020,1,tv,L,lenient,75,0.0289171100278494
2020,2,tv,L,lenient,75,0.0231258791277852
2020,3,tv,L,lenient,75,0.0389067719442848
2020,4,tv,L,lenient,75,0.0370107059370203
2020,5,tv,L,lenient,75,0.0389494146533354
2020,6,tv,L,lenient,75,0.040950934365381
2020,7,tv,L,lenient,75,0.0325043990812115
2020,8,tv,L,lenient,75,0.0357698147955069
2020,9,tv,L,lenient,75,0.0278284786535524
2020,10,tv,L,lenient,75,0.0309826638472908
2020,11,tv,L,lenient,75,0.0650284275244028
2020,12,tv,L,lenient,75,0.0404789120850082
2021,1,tv,L,lenient,75,0.0649816619262672
2021,2,tv,L,lenient,75,0.0432502075951242
2021,3,tv,L,lenient,75,0.0298102501717239
2021,4,tv,L,lenient,75,0.0314047380996241
2021,5,tv,L,lenient,75,0.027682419420864
2021,6,tv,L,lenient,75,0.0263573847591183
2021,7,tv,L,lenient,75,0.0244987043994877
2021,8,tv,L,lenient,75,0.0262521958162129
2021,9,tv,L,lenient,75,0.0229590069702219
2021,10,tv,L,lenient,75,0.0194607329098447
2021,11,tv,L,lenient,75,0.0194214739539127
2021,12,tv,L,lenient,75,0.0233983621074225
2022,1,tv,L,lenient,75,0.0177136653611006
2022,2,tv,L,lenient,75,0.0275940014813822
2022,3,tv,L,lenient,75,0.0327421137768025
2022,4,tv,L,lenient,75,0.0242625361739784
2022,5,tv,L,lenient,75,0.0230725634384731
2022,6,tv,L,lenient,75,0.0212045156956745
2022,7,tv,L,lenient,75,0.0236185323874052
2022,8,tv,L,lenient,75,0.0232959336514833
2022,9,tv,L,lenient,75,0.0230495363172766
2022,10,tv,L,lenient,75,0.0194398292449976
2016,1,tv,L,stringent,75,0.0018656383458826
2016,2,tv,L,stringent,75,0.0031490662642247
2016,3,tv,L,stringent,75,0.0009058022856439
2016,4,tv,L,stringent,75,0.0023426125592002
2016,5,tv,L,stringent,75,0.0027896226845146
2016,6,tv,L,stringent,75,0.0022464088170359
2016,7,tv,L,stringent,75,0.0019957897527811
2016,8,tv,L,stringent,75,0.0016238221561209
2016,9,tv,L,stringent,75,0.0008660620573195
2016,10,tv,L,stringent,75,0.0011859028174757
2016,11,tv,L,stringent,75,0.003765367524658
2016,12,tv,L,stringent,75,0.0030217063149975
2017,1,tv,L,stringent,75,0.0012019871032511
2017,2,tv,L,stringent,75,0.0022925833511613
2017,3,tv,L,stringent,75,0.001572604839709
2017,4,tv,L,stringent,75,0.0026856835882972
2017,5,tv,L,stringent,75,0.0017169147891662
2017,6,tv,L,stringent,75,0.0024480116146869
2017,7,tv,L,stringent,75,0.001957023196112
2017,8,tv,L,stringent,75,0.002062292877239
2017,9,tv,L,stringent,75,0.004045538139187
2017,11,tv,L,stringent,75,0.001596773469705
2017,12,tv,L,stringent,75,0.0012387794554895
2018,1,tv,L,stringent,75,0.0016452930006975
2018,2,tv,L,stringent,75,0.0013506723669523
