state,program,network,period,value,medium
SC,"FIVE, THE",FOXNC,last 3 months,251333,tv
AR,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,249976,tv
WI,TODAY SHOW,NBC Affiliates,last 3 months,248646,tv
CT,TODAY SHOW,NBC Affiliates,last 3 months,248564,tv
AL,60 MINUTES,CBS  Affiliates,last 3 months,248492,tv
MA,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,246656,tv
AZ,60 MINUTES,CBS  Affiliates,last 3 months,246281,tv
AL,HANNITY,FOXNC,last 3 months,244779,tv
WV,TODAY SHOW,NBC Affiliates,last 3 months,241949,tv
NV,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,241221,tv
MO,CNN NEWSROOM,CNN,last 3 months,239514,tv
SC,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,239089,tv
LA,"FIVE, THE",FOXNC,last 3 months,238613,tv
WI,CBS EVENING NEWS,CBS  Affiliates,last 3 months,238516,tv
IA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,237974,tv
CO,TODAY SHOW,NBC Affiliates,last 3 months,237777,tv
AZ,TODAY SHOW,NBC Affiliates,last 3 months,237363,tv
AR,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,237254,tv
SC,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,236018,tv
OK,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,235066,tv
OK,60 MINUTES,CBS  Affiliates,last 3 months,234993,tv
SC,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,234174,tv
RI,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,233419,tv
LA,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,232734,tv
SC,SPECIAL RPT W/BRET BAIER,FOXNC,last 3 months,231281,tv
MN,CBS EVENING NEWS,CBS  Affiliates,last 3 months,230294,tv
ID,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,229138,tv
AL,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,229123,tv
CO,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,228702,tv
MO,CBS SATURDAY MORNING,CBS  Affiliates,last 3 months,227879,tv
WA,60 MINUTES,CBS  Affiliates,last 3 months,227086,tv
KS,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,225625,tv
MN,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,224812,tv
KY,CBS SATURDAY MORNING,CBS  Affiliates,last 3 months,224490,tv
WA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,224353,tv
MO,"FIVE, THE",FOXNC,last 3 months,223845,tv
OK,TODAY SHOW,NBC Affiliates,last 3 months,223533,tv
AL,CBS EVENING NEWS,CBS  Affiliates,last 3 months,222403,tv
KY,60 MINUTES,CBS  Affiliates,last 3 months,221417,tv
LA,AMERICAS NEWSROOM,FOXNC,last 3 months,220419,tv
MD,CBS EVENING NEWS,CBS  Affiliates,last 3 months,219214,tv
NV,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,218917,tv
IN,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,216643,tv
RI,TODAY SHOW,NBC Affiliates,last 3 months,215858,tv
WI,20/20-FRI,ABC Affiliates,last 3 months,214721,tv
AL,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,214051,tv
AR,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,213318,tv
MS,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,213061,tv
MN,20/20-FRI,ABC Affiliates,last 3 months,211323,tv
AL,AMERICAS NEWSROOM,FOXNC,last 3 months,209900,tv
MD,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,209883,tv
KS,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,209622,tv
IN,20/20-FRI,ABC Affiliates,last 3 months,208852,tv
WI,DATELINE: SECRETS UNCOVRD,OXYG,last 3 months,204125,tv
NV,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,203548,tv
MD,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,203276,tv
