state,program,network,period,value,medium
ID,SPECIAL RPT W/BRET BAIER,FOXNC,last 3 months,60252,tv
NH,CNN NEWSROOM,CNN,last 3 months,60075,tv
HI,DEADLINE:WHITE HOUSE,MSNBC,last 3 months,59592,tv
VT,CBS EVENING NEWS,CBS  Affiliates,last 3 months,59580,tv
RI,SATURDAY TODAY,NBC Affiliates,last 3 months,59155,tv
MT,CBS SATURDAY MORNING,CBS  Affiliates,last 3 months,58397,tv
DE,TODAY SHOW,NBC Affiliates,last 3 months,57255,tv
SD,HANNITY,FOXNC,last 3 months,56743,tv
SD,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,55950,tv
VT,DEADLINE:WHITE HOUSE,MSNBC,last 3 months,55131,tv
DE,CBS SATURDAY MORNING,CBS  Affiliates,last 3 months,54320,tv
MT,SUNDAY-MRN,CBS  Affiliates,last 3 months,54263,tv
MT,DATELINE: SECRETS UNCOVRD,OXYG,last 3 months,53667,tv
HI,11TH HOUR W/B. WILLIAMS,MSNBC,last 3 months,53607,tv
SD,SUNDAY MORNING,CBS  Affiliates,last 3 months,53116,tv
NH,20/20-FRI,ABC Affiliates,last 3 months,51352,tv
MT,AMERICA REPORTS,FOXNC,last 3 months,51098,tv
VT,REIDOUT,MSNBC,last 3 months,50299,tv
WY,CBS EVENING NEWS,CBS  Affiliates,last 3 months,49615,tv
NH,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,49599,tv
VT,BEAT W/ARI MELBER,MSNBC,last 3 months,49253,tv
NH,WNT-ABC,ABC Affiliates,last 3 months,46617,tv
DC,TODAY SHOW,NBC Affiliates,last 3 months,45181,tv
DC,TODAY HODA & JENNA,NBC Affiliates,last 3 months,45150,tv
DC,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,44150,tv
NH,HANNITY,FOXNC,last 3 months,43852,tv
AK,TODAY SHOW,NBC Affiliates,last 3 months,43725,tv
ND,60 MINUTES,CBS  Affiliates,last 3 months,43676,tv
NH,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,43201,tv
WY,CNN NEWSROOM,CNN,last 3 months,43131,tv
WY,OUTNUMBERED,FOXNC,last 3 months,42532,tv
DE,TODAY HODA & JENNA,NBC Affiliates,last 3 months,39937,tv
DE,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,38822,tv
WY,FOX NEWS LIVE,FOXNC,last 3 months,37752,tv
DC,60 MINUTES,CBS  Affiliates,last 3 months,37647,tv
DE,TODAY THIRD HOUR,NBC Affiliates,last 3 months,37124,tv
DC,TODAY THIRD HOUR,NBC Affiliates,last 3 months,37003,tv
AK,COURT TV LIVE 9A,Court TV,last 3 months,35175,tv
WY,AMERICA REPORTS,FOXNC,last 3 months,34925,tv
DC,CNN NEWSROOM,CNN,last 3 months,34543,tv
WY,"STORY, THE",FOXNC,last 3 months,33129,tv
WY,HOW IT REALLY HAPPENED,HLN,last 3 months,32741,tv
WY,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,31392,tv
WY,VENGEANCE: KILLER LOVERS,HLN,last 3 months,30910,tv
AK,60 MINUTES,CBS  Affiliates,last 3 months,30514,tv
ND,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,27996,tv
ND,NBC NITELY NEWS-SUN,NBC Affiliates,last 3 months,27304,tv
DC,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,27096,tv
AK,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,26712,tv
DC,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,26388,tv
ND,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,25108,tv
ND,TODAY HODA & JENNA,NBC Affiliates,last 3 months,24409,tv
ND,NBC-NITELY-NEWS,NBC Affiliates,last 3 months,24196,tv
ND,TONIGHT SHOW,NBC Affiliates,last 3 months,24095,tv
DC,NEW DAY,CNN,last 3 months,21623,tv
ND,CBS SATURDAY MORNING,CBS  Affiliates,last 3 months,21239,tv
AK,11TH HOUR W/B. WILLIAMS,MSNBC,last 3 months,14596,tv
AK,LAST WORD W/ L. ODONNELL,MSNBC,last 3 months,14596,tv
AK,NBC-NITELY-NEWS,NBC Affiliates,last 3 months,13359,tv
AK,ALL IN W/ CHRIS HAYES,MSNBC,last 3 months,13340,tv
AK,NEWSNATION: RUSH HOUR,NewsNation,last 3 months,13052,tv
CA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,936185,tv
NY,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,898945,tv
TX,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,894843,tv
FL,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,856619,tv
CA,CNN NEWSROOM,CNN,last 6 months,792366,tv
CA,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,770325,tv
TX,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,754925,tv
FL,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,753689,tv
TX,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,747680,tv
PA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,737303,tv
NY,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,703359,tv
NY,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,664766,tv
CA,NOTICIERO UNIVISION,Univision Affiliates,last 6 months,657953,tv
FL,TODAY SHOW,NBC Affiliates,last 6 months,605438,tv
TX,60 MINUTES,CBS  Affiliates,last 6 months,601034,tv
IL,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,600291,tv
MI,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,589908,tv
TX,TODAY SHOW,NBC Affiliates,last 6 months,583242,tv
CA,PRIMER IMPACTO,Univision Affiliates,last 6 months,562597,tv
NC,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,555481,tv
NY,TODAY SHOW,NBC Affiliates,last 6 months,554940,tv
TX,NOTICIERO UNIVISION,Univision Affiliates,last 6 months,544312,tv
CA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,542568,tv
NY,60 MINUTES,CBS  Affiliates,last 6 months,542505,tv
TX,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,541631,tv
PA,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,541290,tv
NY,CNN NEWSROOM,CNN,last 6 months,539809,tv
PA,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,539668,tv
NY,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,526545,tv
OH,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,516817,tv
CA,60 MINUTES,CBS  Affiliates,last 6 months,513864,tv
NJ,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,509736,tv
FL,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,508024,tv
FL,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,504760,tv
FL,60 MINUTES,CBS  Affiliates,last 6 months,503231,tv
FL,CNN NEWSROOM,CNN,last 6 months,496352,tv
OH,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,496079,tv
OH,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,490293,tv
GA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,483089,tv
NC,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,482955,tv
CA,TODAY SHOW,NBC Affiliates,last 6 months,454662,tv
CA,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,445524,tv
TX,CNN NEWSROOM,CNN,last 6 months,440712,tv
TN,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,440025,tv
MA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,438653,tv
VA,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,438476,tv
TX,PRIMER IMPACTO,Univision Affiliates,last 6 months,427444,tv
OH,60 MINUTES,CBS  Affiliates,last 6 months,424289,tv
VA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,419413,tv
IL,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,413574,tv
PA,60 MINUTES,CBS  Affiliates,last 6 months,409438,tv
FL,NOTICIAS TELEMUNDO,Telemundo Affiliates,last 6 months,406621,tv
CA,LAST WORD W/ L. ODONNELL,MSNBC,last 6 months,405226,tv
PA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,402106,tv
IL,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,401454,tv
OH,TODAY SHOW,NBC Affiliates,last 6 months,400856,tv
NY,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,389491,tv
MI,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,389412,tv
VA,TODAY SHOW,NBC Affiliates,last 6 months,386814,tv
TX,20/20-FRI,ABC Affiliates,last 6 months,385084,tv
TN,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,382917,tv
PA,TODAY SHOW,NBC Affiliates,last 6 months,374128,tv
WI,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,364047,tv
FL,"FIVE, THE",FOXNC,last 6 months,357970,tv
SC,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,355320,tv
GA,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,352613,tv
FL,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,345458,tv
MO,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,343112,tv
IL,60 MINUTES,CBS  Affiliates,last 6 months,340326,tv
NY,CBS EVENING NEWS,CBS  Affiliates,last 6 months,336925,tv
NC,TODAY SHOW,NBC Affiliates,last 6 months,335746,tv
LA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,334290,tv
NY,LAST WORD W/ L. ODONNELL,MSNBC,last 6 months,333099,tv
TN,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,329804,tv
MI,60 MINUTES,CBS  Affiliates,last 6 months,329525,tv
NC,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,327054,tv
IL,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,322341,tv
VA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,315400,tv
MO,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,314750,tv
IN,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,314413,tv
MI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,312033,tv
PA,CNN NEWSROOM,CNN,last 6 months,308978,tv
OH,CBS EVENING NEWS,CBS  Affiliates,last 6 months,305606,tv
NJ,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,303429,tv
MI,TODAY SHOW,NBC Affiliates,last 6 months,303242,tv
NC,60 MINUTES,CBS  Affiliates,last 6 months,292327,tv
IL,TODAY SHOW,NBC Affiliates,last 6 months,284212,tv
NC,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,283411,tv
NJ,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,281572,tv
OH,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,273060,tv
MA,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,272468,tv
GA,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,265682,tv
MA,60 MINUTES,CBS  Affiliates,last 6 months,260111,tv
IN,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,259897,tv
OH,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,258827,tv
OK,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,258050,tv
SC,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,257333,tv
NJ,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,256963,tv
NC,CNN NEWSROOM,CNN,last 6 months,256627,tv
MN,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,252924,tv
WA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,251126,tv
VA,60 MINUTES,CBS  Affiliates,last 6 months,250730,tv
IA,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,250195,tv
PA,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,247837,tv
VA,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,246726,tv
NJ,CNN NEWSROOM,CNN,last 6 months,246245,tv
TN,TODAY SHOW,NBC Affiliates,last 6 months,244501,tv
GA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,243573,tv
PA,20/20-FRI,ABC Affiliates,last 6 months,243490,tv
WI,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,243470,tv
NJ,60 MINUTES,CBS  Affiliates,last 6 months,240007,tv
PA,"FIVE, THE",FOXNC,last 6 months,239320,tv
MD,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,239109,tv
OH,HANNITY,FOXNC,last 6 months,238805,tv
AL,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,237068,tv
KY,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,235754,tv
SC,TODAY SHOW,NBC Affiliates,last 6 months,235620,tv
OH,CNN NEWSROOM,CNN,last 6 months,231843,tv
IL,CNN NEWSROOM,CNN,last 6 months,231823,tv
MO,60 MINUTES,CBS  Affiliates,last 6 months,230297,tv
TN,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,229329,tv
TN,60 MINUTES,CBS  Affiliates,last 6 months,228554,tv
MI,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,227684,tv
MD,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,227078,tv
IL,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,224919,tv
VA,CNN NEWSROOM,CNN,last 6 months,224738,tv
MN,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,224518,tv
WI,60 MINUTES,CBS  Affiliates,last 6 months,224211,tv
NJ,TODAY SHOW,NBC Affiliates,last 6 months,218723,tv
GA,CNN NEWSROOM,CNN,last 6 months,217733,tv
MI,CNN NEWSROOM,CNN,last 6 months,216795,tv
MI,CBS EVENING NEWS,CBS  Affiliates,last 6 months,213843,tv
KY,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,213717,tv
LA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,210756,tv
IN,TODAY SHOW,NBC Affiliates,last 6 months,209852,tv
CT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,209831,tv
WI,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,209339,tv
CO,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,207418,tv
AL,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,205489,tv
MD,60 MINUTES,CBS  Affiliates,last 6 months,205356,tv
WI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,204344,tv
MA,CNN NEWSROOM,CNN,last 6 months,203603,tv
AZ,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,202565,tv
MO,CBS EVENING NEWS,CBS  Affiliates,last 6 months,202448,tv
IN,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,201134,tv
IL,20/20-FRI,ABC Affiliates,last 6 months,198541,tv
TN,CBS EVENING NEWS,CBS  Affiliates,last 6 months,196705,tv
GA,DATELINE: SECRETS UNCOVRD,OXYG,last 6 months,196643,tv
MA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,193148,tv
AZ,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,190105,tv
AR,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,189134,tv
MN,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,188990,tv
TN,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,188814,tv
NJ,20/20-FRI,ABC Affiliates,last 6 months,187297,tv
NJ,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,186768,tv
IA,TODAY SHOW,NBC Affiliates,last 6 months,184975,tv
MA,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,183390,tv
NC,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,182348,tv
NC,HANNITY,FOXNC,last 6 months,182221,tv
MS,TODAY SHOW,NBC Affiliates,last 6 months,181262,tv
VA,TODAY THIRD HOUR,NBC Affiliates,last 6 months,181138,tv
MO,TODAY SHOW,NBC Affiliates,last 6 months,180572,tv
LA,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,180386,tv
IL,GMA NSNA,ABC Affiliates,last 6 months,178077,tv
TN,AMERICAS NEWSROOM,FOXNC,last 6 months,175125,tv
NJ,"FIVE, THE",FOXNC,last 6 months,173526,tv
MO,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,172465,tv
VA,TODAY HODA & JENNA,NBC Affiliates,last 6 months,171280,tv
CO,60 MINUTES,CBS  Affiliates,last 6 months,171064,tv
WA,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,170638,tv
IN,60 MINUTES,CBS  Affiliates,last 6 months,170386,tv
NC,SPECIAL RPT W/BRET BAIER,FOXNC,last 6 months,170274,tv
MN,60 MINUTES,CBS  Affiliates,last 6 months,168890,tv
AL,TODAY SHOW,NBC Affiliates,last 6 months,166807,tv
VA,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,165071,tv
MA,TODAY SHOW,NBC Affiliates,last 6 months,164466,tv
MD,TODAY SHOW,NBC Affiliates,last 6 months,163729,tv
MD,CNN NEWSROOM,CNN,last 6 months,162601,tv
KY,TODAY SHOW,NBC Affiliates,last 6 months,162394,tv
AL,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,160946,tv
TN,FOX AND FRIENDS,FOXNC,last 6 months,160802,tv
GA,GMA NSNA,ABC Affiliates,last 6 months,160560,tv
MN,TODAY SHOW,NBC Affiliates,last 6 months,160457,tv
MI,20/20-FRI,ABC Affiliates,last 6 months,157986,tv
GA,60 MINUTES,CBS  Affiliates,last 6 months,156648,tv
KY,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,155763,tv
AZ,CNN NEWSROOM,CNN,last 6 months,155679,tv
LA,CBS EVENING NEWS,CBS  Affiliates,last 6 months,155070,tv
CO,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,154192,tv
GA,CBS EVENING NEWS,CBS  Affiliates,last 6 months,154101,tv
OR,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,153973,tv
LA,TODAY SHOW,NBC Affiliates,last 6 months,151753,tv
LA,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,151593,tv
OK,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,151478,tv
MS,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,151302,tv
SC,CBS EVENING NEWS,CBS  Affiliates,last 6 months,150529,tv
CT,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,150131,tv
OK,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,149848,tv
GA,TODAY SHOW,NBC Affiliates,last 6 months,148026,tv
WV,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,147259,tv
IA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,146878,tv
MS,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,145849,tv
MA,20/20-FRI,ABC Affiliates,last 6 months,145483,tv
MI,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,145223,tv
MN,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,143780,tv
MO,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,143150,tv
KY,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,142015,tv
CT,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,140755,tv
KS,60 MINUTES,CBS  Affiliates,last 6 months,138981,tv
OK,CBS EVENING NEWS,CBS  Affiliates,last 6 months,136284,tv
AZ,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,135005,tv
NH,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,132074,tv
NM,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,130775,tv
LA,60 MINUTES,CBS  Affiliates,last 6 months,130589,tv
MA,CBS EVENING NEWS,CBS  Affiliates,last 6 months,130206,tv
IN,CBS EVENING NEWS,CBS  Affiliates,last 6 months,128297,tv
KY,CBS EVENING NEWS,CBS  Affiliates,last 6 months,127608,tv
ME,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,127220,tv
SC,60 MINUTES,CBS  Affiliates,last 6 months,126668,tv
CT,60 MINUTES,CBS  Affiliates,last 6 months,126628,tv
SC,"FIVE, THE",FOXNC,last 6 months,125667,tv
AR,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,124988,tv
WI,TODAY SHOW,NBC Affiliates,last 6 months,124323,tv
CT,TODAY SHOW,NBC Affiliates,last 6 months,124282,tv
AL,60 MINUTES,CBS  Affiliates,last 6 months,124246,tv
MA,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,123328,tv
AZ,60 MINUTES,CBS  Affiliates,last 6 months,123141,tv
AL,HANNITY,FOXNC,last 6 months,122389,tv
WV,TODAY SHOW,NBC Affiliates,last 6 months,120974,tv
NV,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,120610,tv
MO,CNN NEWSROOM,CNN,last 6 months,119757,tv
SC,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,119545,tv
LA,"FIVE, THE",FOXNC,last 6 months,119307,tv
WI,CBS EVENING NEWS,CBS  Affiliates,last 6 months,119258,tv
IA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,118987,tv
CO,TODAY SHOW,NBC Affiliates,last 6 months,118889,tv
AZ,TODAY SHOW,NBC Affiliates,last 6 months,118681,tv
AR,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,118627,tv
SC,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,118009,tv
OK,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,117533,tv
OK,60 MINUTES,CBS  Affiliates,last 6 months,117497,tv
SC,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,117087,tv
RI,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,116710,tv
LA,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,116367,tv
SC,SPECIAL RPT W/BRET BAIER,FOXNC,last 6 months,115640,tv
MN,CBS EVENING NEWS,CBS  Affiliates,last 6 months,115147,tv
ID,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,114569,tv
AL,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,114561,tv
CO,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,114351,tv
MO,CBS SATURDAY MORNING,CBS  Affiliates,last 6 months,113940,tv
WA,60 MINUTES,CBS  Affiliates,last 6 months,113543,tv
KS,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,112812,tv
MN,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,112406,tv
KY,CBS SATURDAY MORNING,CBS  Affiliates,last 6 months,112245,tv
WA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,112176,tv
MO,"FIVE, THE",FOXNC,last 6 months,111923,tv
OK,TODAY SHOW,NBC Affiliates,last 6 months,111767,tv
AL,CBS EVENING NEWS,CBS  Affiliates,last 6 months,111201,tv
KY,60 MINUTES,CBS  Affiliates,last 6 months,110709,tv
LA,AMERICAS NEWSROOM,FOXNC,last 6 months,110209,tv
MD,CBS EVENING NEWS,CBS  Affiliates,last 6 months,109607,tv
NV,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,109459,tv
IN,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,108322,tv
RI,TODAY SHOW,NBC Affiliates,last 6 months,107929,tv
WI,20/20-FRI,ABC Affiliates,last 6 months,107360,tv
AL,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,107026,tv
AR,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,106659,tv
MS,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,106531,tv
MN,20/20-FRI,ABC Affiliates,last 6 months,105662,tv
AL,AMERICAS NEWSROOM,FOXNC,last 6 months,104950,tv
MD,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,104941,tv
KS,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,104811,tv
IN,20/20-FRI,ABC Affiliates,last 6 months,104426,tv
WI,DATELINE: SECRETS UNCOVRD,OXYG,last 6 months,102062,tv
NV,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,101774,tv
MD,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,101638,tv
AR,60 MINUTES,CBS  Affiliates,last 6 months,101424,tv
WA,CNN NEWSROOM,CNN,last 6 months,99107,tv
WI,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,98642,tv
MS,TODAY HODA & JENNA,NBC Affiliates,last 6 months,98117,tv
IN,CBS SATURDAY MORNING,CBS  Affiliates,last 6 months,97560,tv
WA,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,96692,tv
KY,AMERICA REPORTS,FOXNC,last 6 months,96326,tv
KY,DATELINE: SECRETS UNCOVRD,OXYG,last 6 months,94927,tv
NV,CNN NEWSROOM,CNN,last 6 months,94902,tv
AZ,HANNITY,FOXNC,last 6 months,94189,tv
CT,CNN NEWSROOM,CNN,last 6 months,94106,tv
IN,CNN NEWSROOM,CNN,last 6 months,94059,tv
AZ,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,92389,tv
CO,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,91689,tv
WA,HANNITY,FOXNC,last 6 months,91612,tv
WA,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,91300,tv
MD,DATELINE: SECRETS UNCOVRD,OXYG,last 6 months,90416,tv
CO,CNN NEWSROOM,CNN,last 6 months,88581,tv
ME,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,88297,tv
OK,HANNITY,FOXNC,last 6 months,87894,tv
WA,DATELINE: SECRETS UNCOVRD,OXYG,last 6 months,87536,tv
MN,SUNDAY MORNING,CBS  Affiliates,last 6 months,87088,tv
ME,TODAY SHOW,NBC Affiliates,last 6 months,86932,tv
MD,LAST WORD W/ L. ODONNELL,MSNBC,last 6 months,86595,tv
AZ,"INGRAHAM ANGLE, THE",FOXNC,last 6 months,86325,tv
NM,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,85924,tv
NH,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,85350,tv
AZ,TODAY THIRD HOUR,NBC Affiliates,last 6 months,85033,tv
SD,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,84439,tv
OK,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,84115,tv
OR,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,84059,tv
NM,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,84002,tv
IA,TODAY THIRD HOUR,NBC Affiliates,last 6 months,83569,tv
OR,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,83444,tv
CT,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,83287,tv
WA,CBS EVENING NEWS,CBS  Affiliates,last 6 months,83257,tv
CO,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,83029,tv
