start year,start month,end year,end month,archetype,delta
2016,1,2019,8,Spanish News,-3287857.0322189853
2016,1,2019,8,Other Cable,-347784.19357877225
2016,1,2019,9,No or Minimal News,36466917.64943258
2016,1,2019,9,Hard Broadcast News,-8092858.325785421
2016,1,2019,9,Soft Broadcast News,-16632202.99354818
2016,1,2019,9,FOX,-39421.66126900166
2016,1,2019,9,CNN,-143088.48279268108
2016,1,2019,9,MSNBC,3798083.7892836574
2016,1,2019,9,Newsmax,0.0
2016,1,2019,9,Spanish News,-2799037.815014653
2016,1,2019,9,Other Cable,-2881996.973148674
2016,1,2019,10,No or Minimal News,36341052.70964735
2016,1,2019,10,Hard Broadcast News,-10866451.483850695
2016,1,2019,10,Soft Broadcast News,-15144699.387096614
2016,1,2019,10,FOX,425139.09679551795
2016,1,2019,10,CNN,908909.6451643407
2016,1,2019,10,MSNBC,4586348.741971841
2016,1,2019,10,Newsmax,0.0
2016,1,2019,10,Spanish News,-3042375.354799591
2016,1,2019,10,Other Cable,-3487903.903256163
2016,1,2019,11,No or Minimal News,34562421.98276668
2016,1,2019,11,Hard Broadcast News,-7725644.859119348
2016,1,2019,11,Soft Broadcast News,-16795481.193548184
2016,1,2019,11,FOX,644360.4053977169
2016,1,2019,11,CNN,-85532.6494593285
2016,1,2019,11,MSNBC,5190363.789283648
2016,1,2019,11,Newsmax,0.0
2016,1,2019,11,Spanish News,-2816495.0150146764
2016,1,2019,11,Other Cable,-3297920.039815314
2016,1,2019,12,No or Minimal News,33335830.483840562
2016,1,2019,12,Hard Broadcast News,-6121259.903205536
2016,1,2019,12,Soft Broadcast News,-15609361.290322363
2016,1,2019,12,FOX,1270042.9677632079
2016,1,2019,12,CNN,930015.5806482304
2016,1,2019,12,MSNBC,3861381.032294376
2016,1,2019,12,Newsmax,0.0
2016,1,2019,12,Spanish News,-3166729.5483480133
2016,1,2019,12,Other Cable,-4817706.419385247
2016,1,2020,1,No or Minimal News,31873689.290292032
2016,1,2020,1,Hard Broadcast News,-8010945.09675391
2016,1,2020,1,Soft Broadcast News,-18288350.774193376
2016,1,2020,1,FOX,3662877.2258278243
2016,1,2020,1,CNN,2908694.0322610848
2016,1,2020,1,MSNBC,4419540.483907329
2016,1,2020,1,Newsmax,0.0
2016,1,2020,1,Spanish News,-2544209.3547995854
2016,1,2020,1,Other Cable,-4275041.774223933
2016,1,2020,2,No or Minimal News,35119847.86092696
2016,1,2020,2,Hard Broadcast News,-8635319.674061649
2016,1,2020,2,Soft Broadcast News,-17767597.26251364
2016,1,2020,2,FOX,3404692.4594207965
2016,1,2020,2,CNN,-449666.9299191255
2016,1,2020,2,MSNBC,4527922.9777893815
2016,1,2020,2,Newsmax,0.0
2016,1,2020,2,Spanish News,-3040260.5483479947
2016,1,2020,2,Other Cable,-3424474.909930229
2016,1,2020,3,No or Minimal News,21863921.29029233
2016,1,2020,3,Hard Broadcast News,-5875327.967721805
2016,1,2020,3,Soft Broadcast News,-20171904.25806436
2016,1,2020,3,FOX,7498780.6774406545
2016,1,2020,3,CNN,7629505.0322611425
2016,1,2020,3,MSNBC,5647988.161326682
2016,1,2020,3,Newsmax,0.0
2016,1,2020,3,Spanish News,-1660657.032218974
2016,1,2020,3,Other Cable,-5232444.516159408
2016,1,2020,4,No or Minimal News,32385759.782765843
2016,1,2020,4,Hard Broadcast News,-13579334.892452806
2016,1,2020,4,Soft Broadcast News,-18701286.226881575
2016,1,2020,4,FOX,6612431.172064319
2016,1,2020,4,CNN,6142184.0172072705
2016,1,2020,4,MSNBC,4466933.255950341
2016,1,2020,4,Newsmax,0.0
2016,1,2020,4,Spanish News,-2508783.281681381
2016,1,2020,4,Other Cable,-5103472.339815335
2016,1,2020,5,No or Minimal News,39289334.064485855
2016,1,2020,5,Hard Broadcast News,-16074047.290301964
2016,1,2020,5,Soft Broadcast News,-18988832.903225664
2016,1,2020,5,FOX,4484622.93550517
2016,1,2020,5,CNN,5894432.741938483
2016,1,2020,5,MSNBC,4367387.225842778
2016,1,2020,5,Newsmax,0.0
2016,1,2020,5,Spanish News,-3597807.2580253873
2016,1,2020,5,Other Cable,-5719849.483901348
2016,1,2020,6,No or Minimal News,42310196.51609925
2016,1,2020,6,Hard Broadcast News,-17260283.059119187
2016,1,2020,6,Soft Broadcast News,-20898009.49354823
2016,1,2020,6,FOX,4804468.27206431
2016,1,2020,6,CNN,5461810.550540676
2016,1,2020,6,MSNBC,4590075.12261698
2016,1,2020,6,Newsmax,4379.9
2016,1,2020,6,Spanish News,-4094853.4816813525
2016,1,2020,6,Other Cable,-5161039.673148675
2016,1,2020,7,No or Minimal News,47900731.41932502
2016,1,2020,7,Hard Broadcast News,-19331454.51610855
2016,1,2020,7,Soft Broadcast News,-21190671.90322559
2016,1,2020,7,FOX,3488630.806472838
2016,1,2020,7,CNN,2548850.387099825
2016,1,2020,7,MSNBC,4836489.096810481
2016,1,2020,7,Newsmax,129516.70967741932
2016,1,2020,7,Spanish News,-4247294.19350932
2016,1,2020,7,Other Cable,-4392816.806481978
2016,1,2020,8,No or Minimal News,45329905.064485915
2016,1,2020,8,Hard Broadcast News,-19510251.064495206
2016,1,2020,8,Soft Broadcast News,-22509605.999999803
2016,1,2020,8,FOX,5307625.967763372
2016,1,2020,8,CNN,3920287.5806481354
2016,1,2020,8,MSNBC,5581860.064552464
2016,1,2020,8,Newsmax,180416.41935483867
2016,1,2020,8,Spanish News,-4228620.032218939
2016,1,2020,8,Other Cable,-4351011.516159421
2016,1,2020,9,No or Minimal News,40538537.58276629
2016,1,2020,9,Hard Broadcast News,-12461934.225785762
2016,1,2020,9,Soft Broadcast News,-22267047.426881544
2016,1,2020,9,FOX,6119575.172064379
2016,1,2020,9,CNN,3226881.983873939
2016,1,2020,9,MSNBC,5048208.455950309
2016,1,2020,9,Newsmax,248853.60000000003
2016,1,2020,9,Spanish News,-4461045.448347984
2016,1,2020,9,Other Cable,-5346548.5398153085
2016,1,2020,10,No or Minimal News,35889490.06448648
2016,1,2020,10,Hard Broadcast News,-10053784.67739898
2016,1,2020,10,Soft Broadcast News,-23918708.45161275
2016,1,2020,10,FOX,7624975.387118179
2016,1,2020,10,CNN,5428257.451615941
2016,1,2020,10,MSNBC,5508123.387133123
2016,1,2020,10,Newsmax,382650.96774193534
2016,1,2020,10,Spanish News,-4712330.032218944
2016,1,2020,10,Other Cable,-5545540.032288397
2016,1,2020,11,No or Minimal News,26184472.749432452
2016,1,2020,11,Hard Broadcast News,-14917460.159118794
2016,1,2020,11,Soft Broadcast News,-23843226.46021487
2016,1,2020,11,FOX,10782061.672064167
2016,1,2020,11,CNN,15494946.217207333
2016,1,2020,11,MSNBC,7682222.022617016
2016,1,2020,11,Newsmax,1833926.5666666664
2016,1,2020,11,Spanish News,-3676943.2816813644
2016,1,2020,11,Other Cable,-8986743.53981528
2016,1,2020,12,No or Minimal News,46955106.967712544
2016,1,2020,12,Hard Broadcast News,-19511074.74191498
2016,1,2020,12,Soft Broadcast News,-18959192.9032256
2016,1,2020,12,FOX,-413157.48384971917
2016,1,2020,12,CNN,5612635.258067576
2016,1,2020,12,MSNBC,4679957.741971828
2016,1,2020,12,Newsmax,2475557.161290321
2016,1,2020,12,Spanish News,-4224280.999960916
2016,1,2020,12,Other Cable,-5953150.096804574
2016,1,2021,1,No or Minimal News,36769322.225775965
2016,1,2021,1,Hard Broadcast News,-14706284.741914831
2016,1,2021,1,Soft Broadcast News,-25120483.54838687
2016,1,2021,1,FOX,2006257.2903439514
2016,1,2021,1,CNN,13789143.903228795
2016,1,2021,1,MSNBC,7056160.903262135
2016,1,2021,1,Newsmax,2976677.258064513
2016,1,2021,1,Spanish News,-3938029.483831864
2016,1,2021,1,Other Cable,-8234756.451643297
2016,1,2021,2,No or Minimal News,54443438.83752786
2016,1,2021,2,Hard Broadcast News,-22810832.90435741
2016,1,2021,2,Soft Broadcast News,-23731818.336405307
2016,1,2021,2,FOX,-702502.9469833113
2016,1,2021,2,CNN,5223982.019588243
2016,1,2021,2,MSNBC,5364321.751188403
2016,1,2021,2,Newsmax,1935990.4642857134
2016,1,2021,2,Spanish News,-5511863.47691942
2016,1,2021,2,Other Cable,-3506390.6636248752
2016,1,2021,3,No or Minimal News,53743917.61287347
2016,1,2021,3,Hard Broadcast News,-19670602.774173014
2016,1,2021,3,Soft Broadcast News,-21608838.22580628
2016,1,2021,3,FOX,-1402565.3548173122
2016,1,2021,3,CNN,1607096.38709981
2016,1,2021,3,MSNBC,3375953.451649241
2016,1,2021,3,Newsmax,1681397.41935484
2016,1,2021,3,Spanish News,-4505349.128993155
2016,1,2021,3,Other Cable,-2535556.8709981553
