start year,start month,end year,end month,from,CNN,FOX,Hard Broadcast News,MSNBC,Newsmax,No or Minimal News,Other Cable,Soft Broadcast News,Spanish News
2016,1,2018,2,No or Minimal News,,,,,-0.000,,,,
2016,1,2018,2,Other Cable,469591.980,,,7033.266,,5630647.678,,27246.449,
2016,1,2018,2,Soft Broadcast News,,117199.992,,,-0.000,6367325.445,,,
2016,1,2018,2,Spanish News,162162.301,,261607.153,89466.182,,3785397.674,85110.361,354588.261,
2016,1,2018,3,CNN,,1329759.700,,1613472.198,-0.000,2751485.598,,197298.491,
2016,1,2018,3,FOX,,,,,-0.000,4193726.907,321467.569,11484.972,74019.055
2016,1,2018,3,Hard Broadcast News,3165210.707,778212.406,,1783804.928,-0.000,9757881.777,844757.701,692894.650,
2016,1,2018,3,MSNBC,,78075.859,,,-0.000,1251053.918,70740.423,,
2016,1,2018,3,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2018,3,No or Minimal News,,,,,-0.000,,,,
2016,1,2018,3,Other Cable,384813.135,,,,,5083911.461,,,
2016,1,2018,3,Soft Broadcast News,,,,63361.054,-0.000,6800501.501,148082.847,,
2016,1,2018,3,Spanish News,156754.846,,252434.529,84679.641,,3846328.721,80673.400,336881.920,
2016,1,2018,4,CNN,,1317473.708,,1527210.111,-0.000,2912461.562,,37576.882,
2016,1,2018,4,FOX,,,,,-0.000,4147188.371,251158.622,,48850.138
2016,1,2018,4,Hard Broadcast News,3376426.113,989542.433,,1707979.023,-0.000,10954195.356,509818.368,,
2016,1,2018,4,MSNBC,,53915.348,,,-0.000,1332076.300,40268.964,,
2016,1,2018,4,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2018,4,No or Minimal News,,,,,-0.000,,,,
2016,1,2018,4,Other Cable,481190.150,,,,,5843268.455,,,
2016,1,2018,4,Soft Broadcast News,,126894.767,266712.788,74755.628,-0.000,7787192.635,331863.330,,
2016,1,2018,4,Spanish News,145809.034,,195241.514,70096.749,,4108823.822,34720.352,328415.856,
2016,1,2018,5,CNN,,1279572.762,,1590582.182,-0.000,2857152.457,,227931.310,
2016,1,2018,5,FOX,,,,,-0.000,4155386.255,265887.455,,46299.749
2016,1,2018,5,Hard Broadcast News,3228480.262,710382.214,,1698062.937,-0.000,10641564.442,616275.359,2054255.611,
2016,1,2018,5,MSNBC,,80003.444,,,-0.000,1221264.218,223508.407,110551.729,
2016,1,2018,5,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2018,5,No or Minimal News,,,,,-0.000,,,,
2016,1,2018,5,Other Cable,512483.251,,,,,5872657.707,,227833.818,
2016,1,2018,5,Soft Broadcast News,,41355.093,,,-0.000,6576084.082,,,
2016,1,2018,5,Spanish News,151533.767,,212985.913,89667.867,,4230393.915,25099.584,296217.526,
2016,1,2018,6,CNN,,1384187.618,,1687599.351,-0.000,3369251.954,,230971.002,
2016,1,2018,6,FOX,,,,,-0.000,4254755.605,80722.949,,32489.908
2016,1,2018,6,Hard Broadcast News,3019913.830,793226.262,,1611210.064,-0.000,12160474.008,574879.802,,
2016,1,2018,6,MSNBC,,52881.626,,,-0.000,1405453.835,198795.098,,
2016,1,2018,6,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2018,6,No or Minimal News,,,,,-0.000,,,,
2016,1,2018,6,Other Cable,345782.047,,,,,6996507.692,,,
2016,1,2018,6,Soft Broadcast News,,339730.499,1749906.057,2692.495,-0.000,8903769.672,293390.205,,
2016,1,2018,6,Spanish News,121545.026,,269910.501,78900.826,,4010402.284,9813.447,224462.449,
2016,1,2018,7,CNN,,1304809.123,,1661245.055,-0.000,3387251.470,,176620.776,
2016,1,2018,7,FOX,,,,,-0.000,4672590.129,168243.250,,64978.975
2016,1,2018,7,Hard Broadcast News,3379032.266,847316.283,,1757984.757,-0.000,13605574.689,746248.992,,
2016,1,2018,7,MSNBC,,69115.422,,,-0.000,1404539.445,84699.746,,
2016,1,2018,7,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2018,7,No or Minimal News,,,,,-0.000,,,,
2016,1,2018,7,Other Cable,539833.330,,,,,7555969.991,,,49574.761
2016,1,2018,7,Soft Broadcast News,,312627.379,1437555.120,93958.116,-0.000,9382549.479,284620.509,,
2016,1,2018,7,Spanish News,116400.910,,252974.880,107205.420,,4537230.496,,233303.460,
2016,1,2018,8,CNN,,1294603.090,,1746528.926,-0.000,3379858.761,,130687.938,
2016,1,2018,8,FOX,,,,,-0.000,4896597.451,298771.121,,63262.363
2016,1,2018,8,Hard Broadcast News,3687465.331,614086.219,,2047640.402,-0.000,13423975.593,1038672.057,,
2016,1,2018,8,MSNBC,,40397.455,,,-0.000,1416722.864,157317.681,,
2016,1,2018,8,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2018,8,No or Minimal News,,,,,-0.000,,,,
2016,1,2018,8,Other Cable,646597.524,,,,,7187959.927,,,
2016,1,2018,8,Soft Broadcast News,,126626.057,934069.410,154737.632,-0.000,9315528.769,413107.734,,
2016,1,2018,8,Spanish News,183838.877,,298076.235,122762.098,,5087134.657,67553.175,338934.363,
2016,1,2018,9,CNN,,1275522.526,,1757225.381,-0.000,2894282.422,,43823.964,
2016,1,2018,9,FOX,,,,,-0.000,4338143.367,170948.797,,49590.337
